"cnt.Var1" "cnt.Freq"
"814" "报道" " 30"
"819" "犹豫" " 29"
"821" "研究" " 29"
"822" "通风管" " 29"
"823" "数据" " 29"
"825" "身后" " 29"
"826" "社团" " 29"
"828" "全身" " 29"
"829" "妻子" " 29"
"831" "年级" " 29"
"833" "密码" " 29"
"835" "介绍" " 29"
"836" "机器" " 29"
"837" "回想" " 29"
"840" "对面" " 29"
"842" "打火机" " 29"
"843" "沉默" " 29"
"846" "自杀" " 28"
"848" "招呼" " 28"
"849" "丈夫" " 28"
"851" "语气" " 28"
"853" "眼里" " 28"
"854" "想必" " 28"
"857" "适合" " 28"
"860" "七点" " 28"
"863" "练习场" " 28"
"864" "记录" " 28"
"865" "话题" " 28"
"866" "改变" " 28"
"867" "方式" " 28"
"872" "办公室" " 28"
"874" "职员" " 27"
"876" "意义" " 27"
"878" "询问" " 27"
"879" "小学" " 27"
"880" "线索" " 27"
"881" "提起" " 27"
"882" "提出" " 27"
"884" "抬头" " 27"
"885" "说法" " 27"
"888" "碰面" " 27"
"889" "女生" " 27"
"891" "留下" " 27"
"893" "苦笑" " 27"
"895" "客厅" " 27"
"898" "几个" " 27"
"899" "公园" " 27"
"900" "对象" " 27"
"901" "不禁" " 27"
"903" "嘴唇" " 26"
"904" "至少" " 26"
"905" "正好" " 26"
"906" "学长" " 26"
"907" "星期六" " 26"
"908" "小心" " 26"
"909" "消失" " 26"
"910" "危险" " 26"
"911" "外面" " 26"
"912" "随便" " 26"
"915" "请教" " 26"
"916" "墙上" " 26"
"920" "卡片" " 26"
"921" "见到" " 26"
"922" "缓缓" " 26"
"923" "黑色" " 26"
"924" "干吗" " 26"
"928" "店员" " 26"
"930" "当作" " 26"
"933" "右手" " 25"
"936" "星期五" " 25"
"937" "心中" " 25"
"939" "事件" " 25"
"941" "稍微" " 25"
"943" "凝视" " 25"
"944" "目的" " 25"
"947" "距离" " 25"
"948" "精品店" " 25"
"949" "今晚" " 25"
"950" "好几个" " 25"
"952" "放学" " 25"
"953" "房子" " 25"
"954" "答应" " 25"
"958" "只能" " 24"
"959" "证据" " 24"
"960" "整理" " 24"
"961" "早就" " 24"
"962" "运动" " 24"
"964" "眼前" " 24"
"965" "信封" " 24"
"966" "小声" " 24"
"967" "习惯" " 24"
"972" "上课" " 24"
"974" "判断" " 24"
"975" "没事" " 24"
"976" "脸颊" " 24"
"977" "厉害" " 24"
"978" "离婚" " 24"
"979" "经营" " 24"
"981" "号码" " 24"
"984" "递给" " 24"
"987" "不见" " 24"
"989" "原本" " 23"
"995" "消息" " 23"
"996" "推测" " 23"
"999" "声响" " 23"
"1000" "生意" " 23"
"1002" "沙发" " 23"
"1003" "三个" " 23"
"1007" "年纪" " 23"
"1008" "门口" " 23"
"1011" "接受" " 23"
"1012" "接近" " 23"
"1013" "教室" " 23"
"1015" "检查" " 23"
"1016" "计算机" " 23"
"1017" "回去" " 23"
"1019" "观察" " 23"
"1021" "浮现" " 23"
"1023" "初中" " 23"
"1024" "餐桌" " 23"
"1025" "布施" " 23"
"1028" "爸爸" " 23"
"1031" "嘴里" " 22"
"1037" "员工" " 22"
"1038" "小小" " 22"
"1039" "五点" " 22"
"1041" "味道" " 22"
"1045" "随即" " 22"
"1046" "事实" " 22"
"1047" "身旁" " 22"
"1048" "身份" " 22"
"1049" "上次" " 22"
"1050" "去世" " 22"
"1051" "漂亮" " 22"
"1052" "牛仔裤" " 22"
"1053" "念头" " 22"
"1057" "慢慢" " 22"
"1059" "脸色" " 22"
"1060" "离去" " 22"
"1064" "方向" " 22"
"1065" "反正" " 22"
"1066" "低声" " 22"
"1067" "窗户" " 22"
"1069" "察觉" " 22"
"1071" "帮忙" " 22"
"1074" "追查" " 21"
"1075" "专利" " 21"
"1078" "早点" " 21"
"1081" "意识" " 21"
"1084" "香烟" " 21"
"1088" "讨论" " 21"
"1092" "日子" " 21"
"1094" "亲戚" " 21"
"1095" "派遣" " 21"
"1096" "内心" " 21"
"1097" "脑袋" " 21"
"1099" "面向" " 21"
"1100" "马里" " 21"
"1101" "类似" " 21"
"1102" "肯定" " 21"
"1103" "可不" " 21"
"1104" "开心" " 21"
"1105" "金属" " 21"
"1106" "家庭" " 21"
"1107" "几天" " 21"
"1112" "负责" " 21"
"1113" "电影" " 21"
"1114" "道歉" " 21"
"1115" "档案" " 21"
"1116" "大江" " 21"
"1117" "出口" " 21"
"1118" "查看" " 21"
"1120" "背影" " 21"
"1121" "白天" " 21"
"1123" "左手" " 20"
"1125" "状态" " 20"
"1126" "转向" " 20"
"1128" "葬礼" " 20"
"1129" "杂志" " 20"
"1131" "影响" " 20"
"1134" "眼镜" " 20"
"1137" "西装" " 20"
"1138" "唯一" " 20"
"1140" "图书馆" " 20"
"1141" "顺利" " 20"
"1144" "期待" " 20"
"1146" "屏幕" " 20"
"1147" "女性" " 20"
"1148" "女儿" " 20"
"1150" "满意" " 20"
"1152" "老板娘" " 20"
"1153" "靠近" " 20"
"1156" "后悔" " 20"
"1157" "好好" " 20"
"1158" "高中" " 20"
"1160" "放心" " 20"
"1163" "持续" " 20"
"1164" "程度" " 20"
"1167" "走近" " 19"
"1168" "总算" " 19"
"1170" "终于" " 19"
"1173" "遗憾" " 19"
"1174" "依然" " 19"
"1177" "胸口" " 19"
"1181" "无聊" " 19"
"1182" "我会" " 19"
"1186" "死亡" " 19"
"1187" "书桌" " 19"
"1188" "手指" " 19"
"1190" "商品" " 19"
"1191" "三年" " 19"
"1195" "强暴" " 19"
